J1840-0559    hfs+04     J1840-0559    hfs+04     18:40:23.18      4.0e-02   hfs+04     -05:59:16.2      1.8e+00   hfs+04     0.85936846681        5.0e-11   hfs+04     321.7      1.4e+00   hfs+04     0.31   4.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1840-0626    kel+09     J1840-0626    kel+09     18:40:16.31      5.0e-02   kel+09     -06:26:15.4      5.2e+00   kel+09     1.8933526999         4.0e-10   kel+09     748        8.0e+00   kel+09     0.16         0  kel+09     *                               *       *          pksmb                                            
J1840-0643    kek+13     J1840-0643    kek+13     18:40:09.44      5.0e-02   kek+13     -06:43:47        1.0e+00   kek+13     0.0355778755         3.0e-10   kek+13     500.0            0  kek+13     1.2          0  kek+13     *                               BT      kek+13     pksmb                                            
J1840-0753    eklk13     J1840-0753    eklk13     18:40:47.6       1.0e-01   eklk13     -07:53:32        6.0e+00   eklk13     0.4378690017         2.0e-10   eklk13     691        7.0e+00   eklk13     0.37   2.0e-02   eklk13     *                               *       *          pksmb                                            
J1840-0809    hfs+04     J1840-0809    hfs+04     18:40:33.364     6.0e-03   hfs+04     -08:09:03.3      4.0e-01   hfs+04     0.955672135909       8.0e-12   hfs+04     349.8      8.0e-01   hfs+04     2.3    2.0e-01   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1840-0815    hfs+04     J1840-0815    hfs+04     18:40:13.775     1.3e-02   hfs+04     -08:15:10.6      7.0e-01   hfs+04     1.096439972228       1.4e-11   hfs+04     233.2      1.2e+00   hfs+04     1.40   1.5e-01   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1840-0840    lfl+06     J1840-0840    lfl+06     18:40:51.9       4.0e-01   lfl+06     -08:40:29        1.5e+01   lfl+06     5.3093766847         2.0e-09   lfl+06     272        1.9e+01   lfl+06     1.00         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1840-1122    hfs+04     J1840-1122    hfs+04     18:40:24.066     1.9e-02   hfs+04     -11:22:10.7      1.6e+00   hfs+04     0.94096161661        4.0e-11   hfs+04     311        3.0e+00   hfs+04     0.13   2.0e-02   hfs+04     *                               *       *          pksmb                                            
J1840-1207    lfl+06     J1840-1207    lfl+06     18:40:53.782     8.0e-03   lfl+06     -12:07:32.6      6.0e-01   lfl+06     0.754470427192       6.0e-12   lfl+06     302.3      1.5e+00   lfl+06     0.22         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1840-1419    kle+10     J1840-1419    kle+10     18:40:32.96      1.0e-02   kkl+11     -14:19:05        1.0e+00   kkl+11     6.5975626227         4.0e-10   kkl+11     19.4       1.4e+00   kkl+11     *            0  *          RRAT                            *       *          pksmb                                            
B1839+56      skk+80     J1840+5640    skk+80     18:40:44.608     6.0e-03   hlk+04     +56:40:55.47     6.0e-02   hlk+04     1.6528618528869      2.0e-12   hlk+04     26.698     1.1e-02   hlk+04     4      1.0e+00   lylg95     *                               *       *          misc,gb4,gbncc                                   
J1841+0130    fsk+04     J1841+0130    fsk+04     18:41:17.761     8.0e-03   lfl+06     +01:30:16.9      3.0e-01   lfl+06     0.0297727753332      4.0e-13   lfl+06     125.88     6.0e-02   lfl+06     0.06         0  lfl+06     *                               ELL1    lfl+06     pksmb                                            
J1841-0157    hfs+04     J1841-0157    hfs+04     18:41:56.207     2.0e-02   hfs+04     -01:57:54.6      8.0e-01   hfs+04     0.663321097981       9.0e-12   hfs+04     475        3.0e+00   hfs+04     0.81   9.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1841-0310    hfs+04     J1841-0310    hfs+04     18:41:25.89      1.4e-01   hfs+04     -03:10:21        9.0e+00   hfs+04     1.6576564582         4.0e-10   hfs+04     216        1.2e+01   hfs+04     0.15   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1841-0345    lkm+00     J1841-0345    lkm+00     18:41:38.68      5.0e-02   mhl+02     -03:48:42.6      1.6e+00   mhl+02     0.204068115056       1.7e-11   mhl+02     194.32     6.0e-02   hfs+04     1.40   1.5e-01   hfs+04     *                               *       *          misc,pksmb,htru_pks                              
B1838-04      cl86       J1841-0425    cl86       18:41:05.663     1.0e-03   ywml10     -04:25:19.50     7.0e-02   ywml10     0.1861488579563      4.0e-13   ywml10     325.487    1.5e-02   hlk+04     2.6    3.0e-01   hfs+04     *                               *       *          jb2,pksmb,htru_pks                               
J1841-0456    vg97       J1841-0456    vg97       18:41:19.343     3.0e-02   wpk+04     -04:56:11.16     3.0e-01   wpk+04     11.7889784           1.0e-06   dk14       *                0  *          *            0  *          AXP,NRAD                        *       *          misc                                             
J1841-0500    crc+12     J1841-0500    crc+12     18:41:18.14      5.0e-02   crc+12     -05:00:19.5      8.0e-01   crc+12     0.91291419632        1.7e-10   crc+12     532        1.0e+00   crc+12     *            0  *          *                               *       *          misc                                             
J1841-0524    hfs+04     J1841-0524    hfs+04     18:41:49.32      5.0e-02   hfs+04     -05:24:29.5      1.2e+00   hfs+04     0.44574893108        3.0e-11   hfs+04     289        1.5e+01   hfs+04     0.20   3.0e-02   hfs+04     *                               *       *          pksmb                                            
B1839+09      mlt+78     J1841+0912    mlt+78     18:41:55.959     2.7e-03   hlk+04     +09:12:07.35     6.5e-02   hlk+04     0.381319294128       3.0e-12   hlk+04     49.107     8.0e-03   hlk+04     1.7    1.0e-01   lylg95     *                               *       *          mol2,gb3,ar3,pkssw,gb4                           
J1841-1404    lfl+06     J1841-1404    lfl+06     18:41:34.3       4.0e-01   lfl+06     -14:04:19        4.1e+01   lfl+06     1.3345572305         8.0e-10   lfl+06     267        8.0e+00   lfl+06     0.18         0  lfl+06     *                               *       *          pksmb                                            
J1841-7845    jbo+09     J1841-7845    jbo+09     18:41:25.9       4.0e-01   jbo+09     -78:45:15        4.0e+00   jbo+09     0.3536025329         4.0e-10   jbo+09     41         2.0e+00   jbo+09     *            0  *          *                               *       *          pkssw                                            
J1842-0153    mhl+02     J1842-0153    mhl+02     18:42:57.870     1.3e-02   mhl+02     -01:53:26.7      6.0e-01   mhl+02     1.05422825038        3.0e-11   mhl+02     434        5.0e+00   mhl+02     0.6    1.0e-01   mhl+02     *                               *       *          pksmb                                            
J1842+0257    lfl+06     J1842+0257    lfl+06     18:42:30.93      4.0e-02   lfl+06     +02:57:58.8      1.4e+00   lfl+06     3.08825579295        1.3e-10   lfl+06     148.1      1.1e+00   lfl+06     0.26         0  lfl+06     *                               *       *          pksmb                                            
J1842-0309    hfs+04     J1842-0309    hfs+04     18:42:19.02      5.0e-02   hfs+04     -03:09:46        3.0e+00   hfs+04     0.40491964372        3.0e-11   hfs+04     955        7.0e+00   hfs+04     0.25   4.0e-02   hfs+04     *                               *       *          pksmb                                            
J1842+0358    lfl+06     J1842+0358    lfl+06     18:42:17.022     6.0e-03   lfl+06     +03:58:35.3      3.0e-01   lfl+06     0.233326206679       3.0e-12   lfl+06     109.9      4.0e-01   lfl+06     0.09         0  lfl+06     *                               *       *          pksmb                                            
B1839-04      cl86       J1842-0359    cl86       18:42:26.477     1.4e-02   hlk+04     -03:59:59.8      6.1e-01   hlk+04     1.839944315159       1.4e-11   hlk+04     195.98     8.0e-02   hlk+04     4.4    5.0e-01   hfs+04     *                               *       *          jb2,pksmb,htru_pks                               
J1842-0415    lkm+00     J1842-0415    lkm+00     18:42:11.289     1.3e-02   mhl+02     -04:15:38.2      7.0e-01   mhl+02     0.526682241575       1.2e-11   mhl+02     188        4.0e+00   hfs+04     0.35   4.0e-02   hfs+04     *                               *       *          misc,pksmb,htru_pks                              
J1842-0612    hfs+04     J1842-0612    hfs+04     18:42:43.05      1.0e-01   hfs+04     -06:12:36        5.0e+00   hfs+04     0.56447537999        1.6e-10   hfs+04     485        1.0e+01   hfs+04     0.54   6.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1842+0638    lfl+06     J1842+0638    lfl+06     18:42:10.002     1.7e-02   lfl+06     +06:38:15.0      7.0e-01   lfl+06     0.313016401038       1.1e-11   lfl+06     212.2      1.2e+00   lfl+06     0.21         0  lfl+06     *                               *       *          pksmb                                            
J1842-0905    kbm+03     J1842-0905    kbm+03     18:42:22.138     7.0e-03   kbm+03     -09:05:24.6      8.0e-01   kbm+03     0.344642757467       5.0e-12   kbm+03     343.3      6.0e-01   kbm+03     0.81   9.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1842+1332    ebvb01     J1842+1332    ebvb01     18:42:29.96      6.0e-02   ebvb01     +13:32:01.5      9.0e-01   ebvb01     0.47160357893        3.0e-11   ebvb01     102.5      7.0e-01   ebvb01     *            0  *          *                               *       *          pkssw                                            
J1843-0000    hfs+04     J1843-0000    hfs+04     18:43:27.962     9.0e-03   hfs+04     -00:00:40.9      6.0e-01   hfs+04     0.88033048188        3.0e-11   hfs+04     101.5      8.0e-01   hfs+04     2.9    3.0e-01   hfs+04     *                               *       *          pksmb                                            
J1843-0050    mhl+02     J1843-0050    mhl+02     18:43:36.72      6.0e-02   mhl+02     -00:50:10        3.0e+00   mhl+02     0.78259846861        8.0e-11   mhl+02     507        7.0e+00   mhl+02     0.24   5.0e-02   mhl+02     *                               *       *          pksmb                                            
J1843-0137    hfs+04     J1843-0137    hfs+04     18:43:12.63      3.0e-02   hfs+04     -01:37:46.3      1.2e+00   hfs+04     0.66987238665        3.0e-11   hfs+04     486        3.0e+00   hfs+04     0.26   4.0e-02   hfs+04     *                               *       *          pksmb                                            
J1843-0211    hfs+04     J1843-0211    hfs+04     18:43:30.328     2.0e-02   hfs+04     -02:11:02.8      7.0e-01   hfs+04     2.02752438872        5.0e-11   hfs+04     441.7      9.0e-01   hfs+04     0.93   1.0e-01   hfs+04     *                               *       *          pksmb                                            
J1843-0355    mhl+02     J1843-0355    mhl+02     18:43:06.67      5.0e-02   mhl+02     -03:55:56        3.0e+00   mhl+02     0.132313618371       1.1e-11   mhl+02     797.6      2.6e+00   mhl+02     0.8    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1843-0408    hfs+04     J1843-0408    hfs+04     18:43:43.44      7.0e-02   hfs+04     -04:08:04        3.0e+00   hfs+04     0.78193369973        7.0e-11   hfs+04     246        3.0e+00   hfs+04     0.17   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1843-0459    mhl+02     J1843-0459    mhl+02     18:43:27.643     1.8e-02   mhl+02     -04:59:30.4      1.3e+00   mhl+02     0.75496337007        3.0e-11   mhl+02     444.1      5.0e-01   mhl+02     1.7    3.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1843-0702    hfs+04     J1843-0702    hfs+04     18:43:22.441     1.0e-02   hfs+04     -07:02:54.6      7.0e-01   hfs+04     0.191614063108       3.0e-12   hfs+04     228.1      7.0e-01   hfs+04     0.17   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1843-0744    kel+09     J1843-0744    kel+09     18:43:05.487     8.0e-03   kel+09     -07:44:30.1      5.0e-01   kel+09     0.475392526561       1.0e-11   kel+09     321        5.0e+00   kel+09     0.17         0  kel+09     *                               *       *          pksmb                                            
J1843-0806    hfs+04     J1843-0806    hfs+04     18:43:28.715     1.1e-02   hfs+04     -08:06:44.9      7.0e-01   hfs+04     0.536413665506       9.0e-12   hfs+04     215.8      9.0e-01   hfs+04     0.36   5.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1843-1113    hfs+04     J1843-1113    hfs+04     18:43:41.26225   2.0e-04   hfs+04     -11:13:31.052    1.6e-02   hfs+04     0.0018456662924246   5.0e-16   hfs+04     59.96      3.0e-02   hfs+04     0.10   2.0e-02   hfs+04     HE                              *       *          pksmb,htru_pks                                   
J1843-14      fsk+04     J1843-14      fsk+04     18:43            1.0e+00   fsk+04     -14              1.0e+00   fsk+04     0.005471             1.0e-06   fsk+04     114.6      1.0e-01   fsk+04     *            0  *          *                               *       *          pksmb                                            
J1843-1507    lfl+06     J1843-1507    lfl+06     18:43:33.607     7.0e-03   lfl+06     -15:07:03.0      8.0e-01   lfl+06     0.583550377362       5.0e-12   lfl+06     215.5      7.0e-01   lfl+06     0.17         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1843+2024    zcwl96     J1843+2024    zcwl96     18:43:26.18      7.0e-02   clm+05     +20:24:54.6      1.2e+00   clm+05     3.4065386707         4.0e-10   clm+05     85.3       2.0e-01   clm+05     *            0  *          *                               *       *          ar4                                              
J1844+00      cnst96     J1844+00      cnst96     18:44:11         1.6e+01   cnst96     +00:35           5.0e+00   cnst96     0.460503             3.0e-06   cnst96     345.54     2.0e-01   hfs+04     8.6    9.0e-01   hfs+04     *                               *       *          ar4,pksmb                                        
J1844-0030    hfs+04     J1844-0030    hfs+04     18:44:41.099     1.9e-02   hfs+04     -00:30:25.8      1.3e+00   hfs+04     0.64109785122        3.0e-11   hfs+04     605        3.0e+00   hfs+04     0.42   5.0e-02   hfs+04     *                               *       *          pksmb                                            
J1844+0115    csl+12     J1844+0115    csl+12     18:44:40.5474    3.0e-04   csl+12     +01:15:34.974    1.1e-02   csl+12     0.004185543936664    3.0e-15   csl+12     148.22     2.0e-02   csl+12     0.1          0  csl+12     *                               ELL1    csl+12     palfa                                            
J1844-02      cpkm02     J1844-02      cpkm02     18:44:53         3.0e+01   cpkm02     -02:56           7.0e+00   cpkm02     0.272963             1.0e-06   bri+06     820.2      3.0e-01   hfs+04     0.46   6.0e-02   hfs+04     *                               *       *          misc,pksmb                                       
B1842-02      cl86       J1844-0244    cl86       18:44:44.975     1.6e-02   hlk+04     -02:44:40.9      6.5e-01   hlk+04     0.507722322118       1.3e-11   hlk+04     429        3.0e+00   hlk+04     0.87   1.0e-01   hfs+04     *                               *       *          jb2,pksmb                                        
J1844-0256    tkk+98     J1844-0256    tkk+98     18:44:54.68      4.0e-02   tkg+06     -02:56:53.1      6.0e-01   tkg+06     6.97127              2.8e-04   tkk+98     *                0  *          *            0  *          AXP,NRAD                        *       *          misc                                             
J1844-0310    lkm+00     J1844-0310    lkm+00     18:44:45.48      5.0e-02   mhl+02     -03:10:37.1      2.0e+00   mhl+02     0.52504914274        4.0e-11   mhl+02     836.1      5.0e-01   hfs+04     0.53   6.0e-02   hfs+04     *                               *       *          misc,pksmb,htru_pks                              
B1841-04      cjlm87     J1844-0433    cjlm87     18:44:33.452     4.8e-03   hlk+04     -04:33:12.4      2.5e-01   hlk+04     0.991026616395       3.0e-12   hlk+04     123.158    2.0e-02   hlk+04     1.10   1.2e-01   hfs+04     *                               *       *          jb2,pks70,pksmb,htru_pks                         
J1844-0452    hfs+04     J1844-0452    hfs+04     18:44:01.54      4.0e-02   hfs+04     -04:52:20.9      1.9e+00   hfs+04     0.26944332141        3.0e-11   hfs+04     626        4.0e+00   hfs+04     0.19   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1844-0502    hfs+04     J1844-0502    hfs+04     18:44:33.96      7.0e-02   hfs+04     -05:02:00.5      2.3e+00   hfs+04     0.33516252825        4.0e-11   hfs+04     318        5.0e+00   hfs+04     0.40   5.0e-02   hfs+04     *                               *       *          pksmb                                            
B1841-05      cl86       J1844-0538    cl86       18:44:05.108     1.9e-03   hlk+04     -05:38:34.19     1.1e-01   hlk+04     0.255699268086       8.0e-12   hlk+04     412.8      3.0e-01   hlk+04     2.2    2.0e-01   hfs+04     *                               *       *          jb2,pksmb,htru_pks                               
B1842+14      mlt+78     J1844+1454    mlt+78     18:44:54.8946    1.1e-03   hlk+04     +14:54:14.12     3.0e-02   hlk+04     0.37546337852        3.0e-11   hlk+04     41.510     4.0e-03   hlk+04     1.5    3.0e-01   lylg95     *                               *       *          mol2,ar2,ar3,pkssw,gb4                           
J1845-0316    lkm+00     J1845-0316    lkm+00     18:45:52.9       1.0e-01   lkm+00     -03:16:05        1.2e+01   lkm+00     0.2076357201         1.0e-10   lkm+00     500.00     1.4e-01   hfs+04     0.35   4.0e-02   hfs+04     *                               *       *          misc,pksmb                                       
B1842-04      cjlm87     J1845-0434    cjlm87     18:45:34.709     7.0e-03   hlk+04     -04:34:29.8      2.9e-01   hlk+04     0.4867507986         4.0e-10   hlk+04     230.8      1.7e+00   hlk+04     1.60   1.7e-01   hfs+04     *                               *       *          jb2,pksmb,htru_pks                               
J1845-0545    hfs+04     J1845-0545    hfs+04     18:45:38.49      4.0e-02   hfs+04     -05:45:18.2      1.0e+00   hfs+04     1.09234815284        5.0e-11   hfs+04     315.9      1.2e+00   hfs+04     0.47   6.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1845+0623    lfl+06     J1845+0623    lfl+06     18:45:08.59      3.0e-02   lfl+06     +06:23:57.6      9.0e-01   lfl+06     1.42165378409        7.0e-11   lfl+06     113.0      1.4e+00   lfl+06     0.33         0  lfl+06     *                               *       *          pksmb                                            
J1845-0635    eklk13     J1845-0635    eklk13     18:45:07.406     9.0e-03   eklk13     -06:35:23.4      8.0e-01   eklk13     0.34052764699        2.0e-11   eklk13     414        1.0e+00   eklk13     0.36   1.0e-02   eklk13     *                               *       *          pksmb                                            
J1845-0743    kbm+03     J1845-0743    kbm+03     18:45:57.18      1.0e-02   kbm+03     -07:43:38.4      6.0e-01   kbm+03     0.104694545163       5.0e-12   kbm+03     281.0      3.0e-01   kbm+03     2.7    2.8e+00   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1845-0826    lfl+06     J1845-0826    lfl+06     18:45:05.693     1.9e-02   lfl+06     -08:26:39.7      1.2e+00   lfl+06     0.634354346767       1.7e-11   lfl+06     228.2      1.2e+00   lfl+06     0.33         0  lfl+06     *                               *       *          pksmb                                            
J1845-1114    lfl+06     J1845-1114    lfl+06     18:45:45.778     6.0e-03   lfl+06     -11:14:11.0      5.0e-01   lfl+06     0.2062199811321      1.3e-12   lfl+06     206.7      5.0e-01   lfl+06     0.52         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1845-1351    lfl+06     J1845-1351    lfl+06     18:45:11.50      3.0e-02   lfl+06     -13:51:54.5      2.0e+00   lfl+06     2.61891846726        6.0e-11   lfl+06     197.4      1.4e+00   lfl+06     0.33         0  lfl+06     *                               *       *          pksmb                                            
J1846+0051    hfs+04     J1846+0051    hfs+04     18:46:43.821     2.0e-02   hfs+04     +00:51:39.0      7.0e-01   hfs+04     0.434372879784       1.6e-11   hfs+04     140        3.0e+00   hfs+04     0.34   9.0e-02   hfs+04     *                               *       *          pksmb                                            
J1846-0257    mll+06     J1846-0257    mll+06     18:46:15.49      4.0e-02   mlk+09     -02:57:36.0      1.8e+00   mlk+09     4.4767225398         1.0e-10   mlk+09     237        7.0e+00   mlk+09     *            0  *          RRAT                            *       *          pksmb                                            
J1846-0258    gvbt00     J1846-0258    gvbt00     18:46:24.94      1.0e-02   hcg03      -02:58:30.1      2.0e-01   hcg03      0.32657128834        5.0e-11   lnk+11     *                0  *          *            0  *          NRAD                            *       *          misc                                             
J1846-0749    lfl+06     J1846-0749    lfl+06     18:46:19.744     5.0e-03   lfl+06     -07:49:21.4      3.0e-01   lfl+06     0.350109572852       4.0e-12   lfl+06     388.3      5.0e-01   lfl+06     0.35         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1846-07492   kel+09     J1846-07492   kel+09     18:46:07.999     9.0e-03   kel+09     -07:49:13.2      6.0e-01   kel+09     0.861379642641       1.5e-11   kel+09     192        5.0e+00   kel+09     0.19         0  kel+09     *                               *       *          pksmb                                            
J1846+0919    sdz+10     J1846+0919    sdz+10     18:46:26.0       6.0e-01   sdz+10     +09:19:46        1.1e+01   sdz+10     0.2255514533         3.0e-10   sdz+10     *                0  *          *            0  *          NRAD                            *       *          FermiBlind                                       
J1846-7403    jbo+09     J1846-7403    jbo+09     18:46:13.78      1.7e-01   jbo+09     -74:03:04        2.0e+00   jbo+09     4.8788385261         5.0e-10   jbo+09     97         2.0e+01   jbo+09     *            0  *          *                               *       *          pkssw                                            
J1847-0130    msk+03     J1847-0130    msk+03     18:47:35.21      9.0e-02   hfs+04     -01:30:46        3.0e+00   hfs+04     6.7070457241         9.0e-10   hfs+04     667        6.0e+00   hfs+04     0.33   4.0e-02   hfs+04     *                               *       *          pksmb                                            
B1844-04      dlp70      J1847-0402    dlp70      18:47:22.8379    1.7e-03   hlk+04     -04:02:14.19     1.1e-01   hlk+04     0.597769151294       3.0e-12   hlk+04     141.979    5.0e-03   hlk+04     4.3    4.0e-01   hfs+04     *                               *       *          jb1,mol2,jb2,gb3,pks70,pksmb                     
J1847-0438    mhl+02     J1847-0438    mhl+02     18:47:37.925     1.3e-02   mhl+02     -04:38:15.3      9.0e-01   mhl+02     0.95799116473        3.0e-11   mhl+02     229        4.0e+00   mhl+02     0.5    1.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1847-0443    hfs+04     J1847-0443    hfs+04     18:47:51.85      3.0e-02   hfs+04     -04:43:36.2      8.0e-01   hfs+04     0.340832130441       1.4e-11   hfs+04     454.9      2.0e+00   hfs+04     0.16   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1847-0605    mhl+02     J1847-0605    mhl+02     18:47:21.071     1.1e-02   mhl+02     -06:05:14.1      9.0e-01   mhl+02     0.778164353310       1.9e-11   mhl+02     207.9      1.8e+00   mhl+02     0.8    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1848-0023    hfs+04     J1848-0023    hfs+04     18:48:37.89      9.0e-02   hfs+04     -00:23:17        4.0e+00   hfs+04     0.53762373255        9.0e-11   hfs+04     30.6       1.0e-01   hfs+04     0.6    3.0e-01   hfs+04     *                               *       *          pksmb                                            
J1848-0055    hfs+04     J1848-0055    hfs+04     18:48:45.50      1.9e-01   hfs+04     -00:55:53        4.0e+00   hfs+04     0.27455668472        7.0e-11   hfs+04     1166       7.0e+00   hfs+04     0.19   3.0e-02   hfs+04     *                               *       *          pksmb                                            
B1845-01      smb71      J1848-0123    smb71      18:48:23.5917    1.6e-03   hlk+04     -01:23:58.23     6.5e-02   hlk+04     0.65943205053        3.0e-11   hlk+04     159.531    8.0e-03   hlk+04     8.6    9.0e-01   hfs+04     *                               *       *          misc,jb1,mol2,jb2,pks70,pksmb                    
J1848+0351    nab+13     J1848+0351    nab+13     18:48:42.24      1.0e-02   nab+13     +03:51:35.7      3.0e-01   nab+13     0.191442663494       2.0e-12   nab+13     336.6      4.0e-01   nab+13     0.066  3.0e-03   nab+13     *                               *       *          palfa                                            
J1848-0511    hfs+04     J1848-0511    hfs+04     18:48:15.01      1.4e-01   hfs+04     -05:11:38        5.0e+00   hfs+04     1.6371290072         6.0e-10   hfs+04     418        7.0e+00   hfs+04     0.40   5.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1848-0601    lfl+06     J1848-0601    lfl+06     18:48:20.349     1.4e-02   lfl+06     -06:01:07.7      8.0e-01   lfl+06     0.225004475404       4.0e-12   lfl+06     496.6      4.0e-01   lfl+06     0.24         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1848+0604    lxf+05     J1848+0604    lxf+05     18:48:54.622     7.0e-03   lxf+05     +06:04:46.8      3.0e-01   lxf+05     2.21860264699        3.0e-11   lxf+05     242.7      7.0e-01   lxf+05     0.35   4.0e-02   hfs+04     *                               *       *          ar4,pksmb                                        
J1848+0647    fcwa95     J1848+0647    fcwa95     18:48:56.01      3.0e-02   lwf+04     +06:47:31.7      4.0e-01   lwf+04     0.5059567391         2.0e-10   lwf+04     27.9       2.0e-01   lwf+04     0.17   3.0e-02   hfs+04     *                               *       *          ar4,pksmb                                        
J1848+0826    nft95      J1848+0826    nft95      18:48:43.77      2.0e-02   cn95       +08:26:35.9      7.0e-01   cn95       0.32866472679        2.0e-11   cn95       90.77      7.0e-02   cn95       0.11   2.0e-02   hfs+04     *                               *       *          ar3,pksmb                                        
J1848-1150    lfl+06     J1848-1150    lfl+06     18:48:11.81      3.0e-02   lfl+06     -11:50:09.2      1.8e+00   lfl+06     1.31221843801        3.0e-11   lfl+06     163.4      1.8e+00   lfl+06     0.21         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1848-12      mll+06     J1848-12      mll+06     18:48:02         3.0e+01   kkl+11     -12:47           7.0e+00   kkl+11     6.7953               5.0e-04   mll+06     88         2.0e+00   mll+06     *            0  *          RRAT                            *       *          pksmb                                            
J1848+12      ebvb01     J1848+12      ebvb01     18:48:30         2.0e+01   ebvb01     +12:50           5.0e+00   ebvb01     0.75473              7.0e-05   ebvb01     139        2.0e+01   ebvb01     *            0  *          *                               *       *          pkssw                                            
J1848-1414    mld+96     J1848-1414    mld+96     18:48:39.15      1.9e-02   hlk+04     -14:14:17        2.2e+00   hlk+04     0.297769547307       3.0e-12   hlk+04     134.47     9.0e-02   hlk+04     *            0  *          *                               *       *          pks70,pkssw,htru_pks                             
B1845-19      mlt+78     J1848-1952    mlt+78     18:48:18.03      4.6e-02   hlk+04     -19:52:31        6.8e+00   hlk+04     4.30818959857        4.0e-11   hlk+04     18.23      7.0e-02   hlk+04     *            0  *          *                               *       *          mol2,pkssw,htru_pks                              
J1849-0001    ghtm11     J1849-0001    ghtm11     18:49:01.61      3.0e-02   ghtm11     -00:01:17.6      6.0e-01   ghtm11     0.038518943432       1.2e-11   ghtm11     *                0  *          *            0  *          NRAD                            *       *          misc                                             
J1849-0040    hfs+04     J1849-0040    hfs+04     18:49:10.25      8.0e-02   hfs+04     -00:40:20        6.0e+00   hfs+04     0.67248060717        1.4e-10   hfs+04     1234.9     1.0e-01   hfs+04     0.20   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1849+0127    mhl+02     J1849+0127    mhl+02     18:49:44.18      1.5e-01   mhl+02     +01:27:23        4.0e+00   mhl+02     0.54215548135        9.0e-11   mhl+02     207.3      2.6e+00   mhl+02     0.46   9.0e-02   mhl+02     *                               *       *          pksmb                                            
J1849-0317    mhl+02     J1849-0317    mhl+02     18:49:57.85      3.0e-02   mhl+02     -03:17:31        3.0e+00   mhl+02     0.66840782878        4.0e-11   mhl+02     42.9       2.8e+00   mhl+02     0.7    1.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1849+0409    lfl+06     J1849+0409    lfl+06     18:49:03.471     1.3e-02   lfl+06     +04:09:42.3      5.0e-01   lfl+06     0.761194081655       1.1e-11   lfl+06     56.1       1.4e+00   lfl+06     0.10         0  lfl+06     *                               *       *          pksmb                                            
J1849-0614    hfs+04     J1849-0614    hfs+04     18:49:45.157     1.9e-02   hfs+04     -06:14:31.5      8.0e-01   hfs+04     0.95338418817        3.0e-11   hfs+04     119.6      1.2e+00   hfs+04     0.59   7.0e-02   hfs+04     *                               *       *          pksmb                                            
B1846-06      dls72      J1849-0636    dls72      18:49:06.435     4.1e-03   hlk+04     -06:37:06.9      2.2e-01   hlk+04     1.451319471078       1.1e-11   hlk+04     148.168    1.2e-02   hlk+04     1.40   1.5e-01   hfs+04     *                               *       *          jb1,mol2,gb3,pksmb,pks70                         
J1849+2423    mca00      J1849+2423    mca00      18:49:34.6763    4.0e-04   clm+05     +24:23:45.976    1.2e-02   clm+05     0.27564149867101     7.0e-14   clm+05     62.239     5.0e-03   clm+05     *            0  *          *                               *       *          ar4                                              
J1850-0006    kel+09     J1850-0006    kel+09     18:50:47.93      8.0e-02   kel+09     -00:06:26.1      4.5e+00   kel+09     2.1914979680         5.0e-10   kel+09     570        2.0e+01   kel+09     0.8          0  kel+09     *                               *       *          pksmb                                            
J1850-0026    kel+09     J1850-0026    kel+09     18:50:14.714     4.0e-03   kel+09     -00:26:11.6      2.0e-01   kel+09     0.1666339242514      2.0e-12   kel+09     947        5.0e+00   kel+09     1.77         0  kel+09     *                               *       *          pksmb                                            
